County,pos_perc,week_ttot
GILCHRIST,10.434782608695652,115
PUTNAM,13.054499366286437,789
TAYLOR,27.333333333333332,150
OKALOOSA,14.37125748502994,1169
CALHOUN,16.216216216216218,74
PALM BEACH,10.219609199377485,11566
ST. LUCIE,9.855595667870036,2770
PASCO,7.670043415340087,3455
GADSDEN,27.061855670103093,388
LEON,26.92943120132169,4237
JEFFERSON,10.4,125
MADISON,14.130434782608695,184
LIBERTY,24.193548387096776,62
HAMILTON,110.00000000000001,70
BAY,18.238993710691823,795
COLUMBIA,20.588235294117645,578
BAKER,30.742049469964666,283
HOLMES,32.87671232876712,73
MARTIN,7.888762769580023,1762
HILLSBOROUGH,12.01985111662531,10075
MANATEE,9.92313067784766,2862
CLAY,13.48314606741573,2314
HARDEE,26.400000000000002,250
MARION,10.102437301306958,2831
VOLUSIA,14.473190851143608,2667
DIXIE,19.852941176470587,136
LAKE,13.247863247863249,1872
LEVY,13.043478260869565,253
SUMTER,7.725321888412018,699
SEMINOLE,17.18213058419244,1455
ORANGE,15.514050143025408,5943
CITRUS,15.737410071942445,1112
HERNANDO,11.254295532646049,1164
PINELLAS,8.041060735671515,7014
SUWANNEE,18.75,256
DUVAL,8.72688853671421,9465
LAFAYETTE,23.684210526315788,38
GULF,9.70873786407767,103
UNION,114.4927536231884,69
BRADFORD,39.91769547325103,243
WAKULLA,20.170454545454543,352
BREVARD,12.480644162279344,3229
POLK,13.316534212056599,5159
OSCEOLA,14.57185778668002,1997
HIGHLANDS,10.480349344978166,687
LEE,11.242603550295858,3887
COLLIER,11.24344926155312,2099
MIAMI-DADE,10.754685822805714,24222
MONROE,5.679012345679013,405
SANTA ROSA,11.907514450867051,865
WALTON,14.143426294820719,502
JACKSON,29.797979797979796,396
WASHINGTON,33.33333333333333,36
NASSAU,12.10762331838565,892
GLADES,37.5,56
CHARLOTTE,7.832618025751073,932
SARASOTA,9.455070371706965,2771
DESOTO,5.676855895196507,229
FLAGLER,14.906103286384976,852
HENDRY,11.372549019607844,255
INDIAN RIVER,6.94888178913738,1252
BROWARD,8.161292549886074,14483
ESCAMBIA,9.871244635193133,2330
OKEECHOBEE,32.21476510067114,298
FRANKLIN,26.31578947368421,57
ALACHUA,26.841018582243635,4359
ST. JOHNS,9.028617492946392,2481
UNKNOWN,7.811831789023521,7015
STATE,11.9327325394271,161564
